model,task,baseline_accuracy,icl_accuracy,tv_accuracy,icl_comet,tv_comet,num_examples
pythia_2.8B,translation_ja_en,0.0,0.88,0.72,0.9401543092727661,0.8959737336635589,5
pythia_2.8B,translation_en_ja,0.0,0.58,0.14,0.9104694247245788,0.6850528150796891,5
pythia_2.8B,translation_es_en,0.03,0.84,0.62,0.9420945167541503,0.8838297474384308,5
pythia_2.8B,translation_en_fr,0.0,0.64,0.24,0.8823653781414031,0.8312900221347809,5
pythia_2.8B,translation_en_es,0.0,0.8,0.2,0.9430213439464569,0.8679839837551117,5
swallow_7B,translation_ja_en,0.05,0.94,0.88,0.9621469366550446,0.9375388443470001,5
swallow_7B,translation_en_ja,0.0,0.72,0.76,0.9234802192449569,0.9308202290534973,5
swallow_7B,translation_es_en,0.04,0.86,0.72,0.9331111085414886,0.9175430488586426,5
swallow_7B,translation_en_fr,0.04,0.86,0.54,0.9255679559707641,0.842616890668869,5
swallow_7B,translation_en_es,0.03,0.84,0.68,0.9415577232837677,0.9076601779460907,5
llama_7B,translation_ja_en,0.0,0.04,0.0,0.7009700471162796,0.5235996502637863,5
llama_7B,translation_en_ja,0.0,0.0,0.0,0.7393313479423523,0.5186509627103806,5
llama_7B,translation_es_en,0.2,0.88,0.72,0.94647780418396,0.8695998591184616,5
llama_7B,translation_en_fr,0.07,0.82,0.76,0.9196641087532044,0.9149838566780091,5
llama_7B,translation_en_es,0.0,0.86,0.8,0.9531923449039459,0.9361251425743103,5
youko_8B,translation_ja_en,0.0,0.08,0.0,0.7243518102169036,0.48455636262893675,5
youko_8B,translation_en_ja,0.0,0.04,0.0,0.7635535216331482,0.36433652848005293,5
youko_8B,translation_es_en,0.03,0.88,0.26,0.9543591094017029,0.6799749571084976,5
youko_8B,translation_en_fr,0.0,0.78,0.6,0.9215947985649109,0.8252607220411301,5
youko_8B,translation_en_es,0.01,0.86,0.74,0.9481343746185302,0.8757798767089844,5
