model,task,token_range,icl_accuracy,tv_accuracy,icl_chrf,tv_chrf,icl_comet,tv_comet,num_datasets
swallow_7B,translation_ja_en,10-15tokens,0.14,0.0,0.5735956832753971,0.4826675405002368,0.8788140034675598,0.7933006298542022,50
swallow_7B,translation_ja_en,15-20tokens,0.04,0.0,0.4628521257982787,0.3470517709178371,0.826227992773056,0.7976772689819336,50
swallow_7B,translation_ja_en,5-10tokens,0.12,0.0,0.5768541936290726,0.39266187934897606,0.8703764688968658,0.6975345027446747,50
swallow_7B,translation_en_ja,10-15tokens,0.02,0.0,0.35950282067417894,0.2985185941126603,0.9286943864822388,0.7877415156364441,50
swallow_7B,translation_en_ja,15-20tokens,0.0,0.0,0.21343916576066924,0.17735763194141743,0.8528280226807845,0.8156183424748873,19
swallow_7B,translation_en_ja,5-10tokens,0.04,0.0,0.4106543167413005,0.28771281043483105,0.9208461272716523,0.6687192922830582,50
swallow_7B,translation_ja_en,0-5tokens,0.56,0.5,0.44411972761308666,0.41619817115641067,0.8439093697071075,0.81015909075737,50
swallow_7B,translation_en_ja,0-5tokens,0.5,0.48,0.37970014449761513,0.37123251269388086,0.8727012264728546,0.8597913694381714,50
pythia_2.8B,translation_ja_en,10-15tokens,0.08,0.0,0.4024107338958107,0.29131659626686257,0.8125632297992706,0.7230659008026123,50
pythia_2.8B,translation_ja_en,15-20tokens,0.06,0.0,0.47136054736626626,0.39431527429966645,0.8209343391656876,0.7830343753099441,50
pythia_2.8B,translation_ja_en,5-10tokens,0.19047619047619047,0.0,0.4745115217538543,0.32195518075209845,0.8209501263641176,0.6617952116898128,42
pythia_2.8B,translation_en_ja,10-15tokens,0.0,0.0,0.22723068009379735,0.0,0.8513713908195496,0.0,50
pythia_2.8B,translation_en_ja,15-20tokens,0.0,0.0,0.10045234469826457,0.0,0.8271803895632426,0.0,15
pythia_2.8B,translation_en_ja,5-10tokens,0.0,0.0,0.28417735719403914,0.0,0.8591884994506835,0.0,50
pythia_2.8B,translation_ja_en,0-5tokens,0.74,0.64,0.6285944370233388,0.5518938478772238,0.8980155372619629,0.8705141091346741,50
pythia_2.8B,translation_en_ja,0-5tokens,0.08,0.06,0.12013241261479318,0.10638297872340426,0.7215049695968628,0.6898261994123459,50
llama_7B,translation_ja_en,10-15tokens,0.18,0.0,0.5392530265313816,0.48246092147337305,0.8581181979179382,0.7822392749786377,50
llama_7B,translation_ja_en,15-20tokens,0.2,0.0,0.59500703507264,0.5353528289303137,0.8729914420843125,0.8440439796447754,50
llama_7B,translation_ja_en,5-10tokens,0.42857142857142855,0.0,0.6393415022763871,0.22698643790438944,0.8362241046769279,0.5751967515264239,7
llama_7B,translation_en_ja,10-15tokens,0.0,0.0,0.2642947495610357,0.09703473635936138,0.8739999771118164,0.0,50
llama_7B,translation_en_ja,15-20tokens,0.0,0.0,0.12173524909845171,0.0877672632648565,0.7905848230186262,0.0,19
llama_7B,translation_en_ja,5-10tokens,0.02,0.0,0.26564323811011586,0.09906221911941436,0.8897604155540466,0.0,50
llama_7B,translation_ja_en,0-5tokens,0.68,0.68,0.44846810400477194,0.4249340233869762,0.8685594546794891,0.8622512269020081,50
llama_7B,translation_en_ja,0-5tokens,0.08,0.08,0.2561837455830389,0.06013745704467354,0.7174771475791931,0.0,50
youko_8B,translation_ja_en,10-15tokens,0.0,0.0,0.5077490861231927,0.17654247598770131,0.8792038476467132,0.5880959242582321,50
youko_8B,translation_ja_en,15-20tokens,0.0,0.0,0.49900385162277044,0.32271234350789,0.8565883076190949,0.6694539099931717,50
youko_8B,translation_ja_en,5-10tokens,0.0,0.0,0.5703181346912817,0.2056678100674031,0.8679799181222916,0.5501554614305496,50
youko_8B,translation_en_ja,10-15tokens,0.02,0.0,0.3437512247451917,0.13904304302422493,0.9207688319683075,0.6219729357957839,50
youko_8B,translation_en_ja,15-20tokens,0.0,0.0,0.20059059187188433,0.1247637602091963,0.9016429255990421,0.7647148563581354,17
youko_8B,translation_en_ja,5-10tokens,0.04,0.0,0.3837797189473198,0.16798950718255978,0.9353324365615845,0.5551939982175828,50
youko_8B,translation_ja_en,0-5tokens,0.66,0.58,0.5867886055408698,0.47914276478789497,0.855162895321846,0.8225133085250854,50
youko_8B,translation_en_ja,0-5tokens,0.16,0.14,0.15587414081542775,0.04797746935781962,0.7627209728956222,0.0,50
