,icl_accuracy,icl_accuracy,tv_accuracy,tv_accuracy,icl_comet,icl_comet,tv_comet,tv_comet
,mean,std,mean,std,mean,std,mean,std
task_display,,,,,,,,
translation_en_es_multi,0.73,0.0476,0.19,0.1322,0.9058,0.0091,0.7578,0.0658
translation_en_fr_multi,0.765,0.0526,0.21,0.1227,0.8808,0.0177,0.7131,0.08
translation_en_ja_multi,0.02,0.0231,0.0,0.0,0.8335,0.0209,0.6273,0.0859
translation_en_ja_single,0.155,0.1586,0.145,0.1799,0.7518,0.0706,0.7359,0.0695
translation_es_en_multi,0.855,0.0661,0.51,0.2543,0.9269,0.0142,0.8033,0.1238
translation_ja_en_multi,0.03,0.0115,0.0,0.0,0.8814,0.0318,0.5686,0.1745
translation_ja_en_single,0.67,0.0959,0.62,0.0909,0.8698,0.0385,0.8417,0.0379
