model,task,task_display,use_comet,icl_metric,tv_metric,baseline_accuracy,num_examples,icl_comet,tv_comet,icl_chrf,tv_chrf,icl_accuracy,tv_accuracy
swallow_7B,translation_en_ja_single,translation_en_ja_single,True,0.8334284377098083,0.8178036034107208,0.0,5,0.8334284377098083,0.8178036034107208,0.5201050923850832,0.45025500780902994,0.34,0.3
swallow_7B,translation_ja_en_single,translation_ja_en_single,True,0.800836706161499,0.7653789055347443,0.0,5,0.800836706161499,0.7653789055347443,0.5414619348476932,0.4288345408321219,0.54,0.46
swallow_7B,translation_ja_en_jesc,translation_ja_en_jesc_multi,True,0.6754180663824081,0.5584936702251434,0.0,5,0.6754180663824081,0.5584936702251434,0.2289917661136154,0.007745336838617172,0.0,0.0
swallow_7B,translation_en_ja_jesc,translation_en_ja_jesc_multi,True,0.7620568490028381,0.7168762242794037,0.0,5,0.7620568490028381,0.7168762242794037,0.19130410398645314,0.16059889066825694,0.02,0.0
swallow_7B,translation_ja_en_easy,translation_ja_en_easy_multi,True,0.8532892024517059,0.8126309257745743,0.0,5,0.8532892024517059,0.8126309257745743,0.5270907557509333,0.4469430046152719,0.06,0.0
swallow_7B,translation_en_ja_easy,translation_en_ja_easy_multi,True,0.9149867904186249,0.6860406124591827,0.0,5,0.9149867904186249,0.6860406124591827,0.3794559595202951,0.273767023579261,0.04,0.0
llama_7B,translation_en_ja_single,translation_en_ja_single,True,0.6902767288684845,0.6768168258666992,0.0,5,0.6902767288684845,0.6768168258666992,0.21930560942325644,0.17898814910579613,0.0,0.02
llama_7B,translation_ja_en_single,translation_ja_en_single,True,0.8202765023708344,0.8142385232448578,0.02,5,0.8202765023708344,0.8142385232448578,0.5777828972489312,0.548702872314884,0.54,0.56
llama_7B,translation_ja_en_jesc,translation_ja_en_jesc_multi,True,0.6510725611448288,0.5309653460979462,0.0,5,0.6510725611448288,0.5309653460979462,0.25154858634035976,0.12701036649816505,0.04,0.0
llama_7B,translation_en_ja_jesc,translation_en_ja_jesc_multi,True,0.7227538937330246,0.5261867067217827,0.0,5,0.7227538937330246,0.5261867067217827,0.16801732087682836,0.06419533443491207,0.02,0.0
llama_7B,translation_ja_en_easy,translation_ja_en_easy_multi,True,0.8659256792068482,0.7140981501340866,0.0,5,0.8659256792068482,0.7140981501340866,0.605175074237382,0.4154768244559335,0.18,0.0
llama_7B,translation_en_ja_easy,translation_en_ja_easy_multi,True,0.8922815597057343,0.5452378517389298,0.0,5,0.8922815597057343,0.5452378517389298,0.2852722430606384,0.10571715380271746,0.04,0.0
llama_13B,translation_en_ja_single,translation_en_ja_single,True,0.6984130626916886,0.6571469348669052,0.0,5,0.6984130626916886,0.6571469348669052,0.24699791711556415,0.11193363499245851,0.02,0.02
llama_13B,translation_ja_en_single,translation_ja_en_single,True,0.8033018469810486,0.8032964944839478,0.05,5,0.8033018469810486,0.8032964944839478,0.5245557989671298,0.4600367633255372,0.54,0.5
llama_13B,translation_ja_en_jesc,translation_ja_en_jesc_multi,True,0.6883130764961243,0.517000692486763,0.0,5,0.6883130764961243,0.517000692486763,0.2659111053470391,0.1807331189057483,0.02,0.0
llama_13B,translation_en_ja_jesc,translation_en_ja_jesc_multi,True,0.7366818016767502,0.5188456809520722,0.0,5,0.7366818016767502,0.5188456809520722,0.12976020688036638,0.0544814634488198,0.0,0.0
llama_13B,translation_ja_en_easy,translation_ja_en_easy_multi,True,0.8544954991340638,0.7249954587221146,0.0,5,0.8544954991340638,0.7249954587221146,0.5818023574349609,0.3640988977652269,0.14,0.0
youko_8B,translation_en_ja_single,translation_en_ja_single,True,0.7674850112199784,0.7425060415267944,0.0,5,0.7674850112199784,0.7425060415267944,0.46633484486286925,0.4075314260594504,0.22,0.18
youko_8B,translation_ja_en_single,translation_ja_en_single,True,0.8908318090438843,0.8869052052497863,0.01,5,0.8908318090438843,0.8869052052497863,0.71236453823687,0.7005289177246564,0.76,0.7
youko_8B,translation_ja_en_jesc,translation_ja_en_jesc_multi,True,0.7122827243804931,0.46748186647892,0.0,5,0.7122827243804931,0.46748186647892,0.328167373375996,0.005144400120160239,0.04,0.0
youko_8B,translation_en_ja_jesc,translation_en_ja_jesc_multi,True,0.7560091775655746,0.4575248235464096,0.0,5,0.7560091775655746,0.4575248235464096,0.19486027316072402,0.02683894150845557,0.0,0.0
youko_8B,translation_ja_en_easy,translation_ja_en_easy_multi,True,0.8661973118782044,0.5871553564071655,0.0,5,0.8661973118782044,0.5871553564071655,0.6167160881433152,0.23348855617157357,0.0,0.0
youko_8B,translation_en_ja_easy,translation_en_ja_easy_multi,True,0.9323852896690369,0.5891846269369125,0.0,5,0.9323852896690369,0.5891846269369125,0.3840940852874359,0.15179960572059747,0.08,0.0
