model,direction,dataset_type,icl_score,tv_score,improvement
swallow_7B,en_ja,single,0.8334284377098083,0.8178036034107208,-0.015624834299087564
swallow_7B,en_ja,easy,0.9149867904186249,0.6860406124591827,-0.22894617795944217
swallow_7B,en_ja,jesc,0.7620568490028381,0.7168762242794037,-0.045180624723434426
swallow_7B,ja_en,single,0.800836706161499,0.7653789055347443,-0.03545780062675474
swallow_7B,ja_en,easy,0.8532892024517059,0.8126309257745743,-0.04065827667713162
swallow_7B,ja_en,jesc,0.6754180663824081,0.5584936702251434,-0.11692439615726469
llama_7B,en_ja,single,0.6902767288684845,0.6768168258666992,-0.013459903001785234
llama_7B,en_ja,easy,0.8922815597057343,0.5452378517389298,-0.3470437079668045
llama_7B,en_ja,jesc,0.7227538937330246,0.5261867067217827,-0.19656718701124187
llama_7B,ja_en,single,0.8202765023708344,0.8142385232448578,-0.006037979125976589
llama_7B,ja_en,easy,0.8659256792068482,0.7140981501340866,-0.15182752907276154
llama_7B,ja_en,jesc,0.6510725611448288,0.5309653460979462,-0.1201072150468826
llama_13B,en_ja,single,0.6984130626916886,0.6571469348669052,-0.04126612782478334
llama_13B,en_ja,jesc,0.7366818016767502,0.5188456809520722,-0.21783612072467806
llama_13B,ja_en,single,0.8033018469810486,0.8032964944839478,-5.352497100763465e-06
llama_13B,ja_en,easy,0.8544954991340638,0.7249954587221146,-0.12950004041194918
llama_13B,ja_en,jesc,0.6883130764961243,0.517000692486763,-0.17131238400936133
youko_8B,en_ja,single,0.7674850112199784,0.7425060415267944,-0.024978969693183917
youko_8B,en_ja,easy,0.9323852896690369,0.5891846269369125,-0.34320066273212435
youko_8B,en_ja,jesc,0.7560091775655746,0.4575248235464096,-0.298484354019165
youko_8B,ja_en,single,0.8908318090438843,0.8869052052497863,-0.003926603794097927
youko_8B,ja_en,easy,0.8661973118782044,0.5871553564071655,-0.2790419554710388
youko_8B,ja_en,jesc,0.7122827243804931,0.46748186647892,-0.24480085790157313
