you're always scared and nervous! face me!	いつも ビクビクして! 私と向き合って。
via these dense interconnections	場所細胞が互いに活性化させあい
and we should begin by reimagining leather.	手始めに皮革を再度見直す必要があります
together.	組むのだ
so what happened is that a 24yearold man	ある24歳の男性が
we'll figure it out.	2人で解決しましょう
right?!	そうだよねぇ
how about that?	おお、スカイラー!
hello, deltaxray.	デルタ -X -レイ
you guys get out of my way!	どけ この野郎!
crops are burned. animals slaughtered.	作物は燃やされ 家畜は屠殺され
there you are in the grass, youchan.	草むらの中
cut the thread with your teeth and tie it off.	歯で糸を切って そのままにしておきなさい
we want it all. eu querote comprar...	その世話役の人が...
who's cyrus?	サイラスって誰だ?
so, he built a temple in her honor, facing his.	王は妻にベタ惚れで 彼の神殿に面して 妻の神殿を建設
one doctor's take on the subject.	皆さんに伝えたいと思います
what	なん...何で
and i hope those won't be necessary.	それが必要ない事を願ってる
in my time at treblinka	ポーランドのトレブリンカ 強制収容所にいた時
and joyful people	喜び溢れる人々が 増えれば増えるほど
anyway, hurry!	上様!
i got my phone. no fucking keys, though.	携帯があった 鍵はないな
ha, ha.	概ねそう言った
come on, richard.	やめろ
and really do give them a hug.	そして彼らを抱きしめてあげてください
a better orbit. but then what we do is we launch	軌道を修正できます しかしむしろ行うべきは
you want to know what money sounds like?	あなたは、お金がどう 聞こえるか知りたい?
and for spinning in the air.	空中回転のためです
nasty. no, wait, that hurt.	いや 痛いじゃないか
john is not suicidal.	ジョンは自殺なんかしない
and is going to finish with one case.	そして最後の一つの症例をもって 終わりを迎えるのです
now, our sun will not collapse to a black hole	改めて 太陽はブラックホールにはなりません
i learned to love landscapes.	私は風景が大好きになりました
this is kelly young	最後のお話です:この方は、ケリー・ヤング、
huh? study?	えっ 勉強!?
were discussing sexual harassment on the campus	キャンパスでのセクハラについて議論しはじめました
on post road?	郵便局の
you're telling me that i'm dead.	あんたらが 誰かも知らないし
i don't know why you would want to do that	そのなことをする意味があるか分かりませんが
what does it sound like?	いつも? どんな曲?
you'll never find us.	決して見つかることはない
no, you won't.	ええ、ないでしょう
it was my attempt to rectify the mistake i made.	私は自分のミスを 正そうとした
i don't know this pushkov!	プシュコフを知らない!
decent? don't make me laugh.	まとも? 笑わせるな。 出歩いて遊びまわってるのが➡
questioning for the last 10 or so years	コンピューティングの 可能性について考えていて
long live the fifth column.	フィフス カラムに栄光あれ
im just getting the car keys.	《車の鍵 取りに来ただけだよ》
a swiftly flowing stream of memory and sorrow	途絶えることのない- 古の記憶と哀しみ
good.	分かった。
it became clear:	はっきりしてきました
you telling me you're still on site?	まだ現場に?
if there were any ways that	模索したのは
i want to do it.	根据不同的用法 甚至可以操纵很多妖怪
you two were buddies. i just thought...	お前ら親友だったから・・・
and you can see how they all converge.	一か所に集まっています
hey. why would you tell her that?	なんで教えるのさ
if anyone can motivate him to move, and jan will.	励みになるはずだ
oh, okay.	そうよ 皆あの家がいけないのよ
open the door, detective.	ドアを開けろ 刑事
although a dirty secret if you ask me.	秘密の汚い仕事をしているのを
is this the zenica shelter?	これはゼニツァ避難所ですか?
now let me tell you.	今度は私が話す番だ
your house? i don't	あんたの家?
he has a relationship with it.	触れる・・
you still haven't told anyone, right?	まだ誰にも 言ってないよね?
oh, come on! oh, come on!	ああ ジャック。
why send a letter claiming responsibility now?	どうして今になって 犯行声明文を?
that astonished the media business.	メディア企業を驚かせるようなことをする機会を与えました
did you?	じゃ、あなたは?
morning.	うぃ~す。
even if i forget the man i loved	恋した男のことは忘れても
you're being weird. time for what?	おかしいわよ 何のための時間よ?
not mine.	私の仕事じゃなくな
meteor buster attack!	メテオバスターアタック!
or one dollar. right? you'd never want to play.	そうでしょ? だれもプレイしませんよ
there is also a medical contribution here	医学的要因があります
and those were then distributed to djs	djたちの手に渡って
wait! wait! wait!	ちょっと! 坂田さん 待って~!
please make me a man	「僕を男にしてください」っていう あれ。
bite them.	噛まない
